,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
284,2M8ic65G0VLkS6nEY53Uex,Kadhal Cricket - Love (Not Out),53.0,3.0,spotify:track:2M8ic65G0VLkS6nEY53Uex,0.624,0.764,-3.724,0.0577,0.232,0.00055,0.131,0.961,190.089,"Hiphop Tamizha, Kharesma Ravichandran",Thani Oruvan (Original Motion Picture Soundtrack),2015-07-22
285,4nSwWiwtieiNmRAjy9fEXN,Kannala Kannala - The Melting Point of Love,63.0,2.0,spotify:track:4nSwWiwtieiNmRAjy9fEXN,0.593,0.776,-4.343,0.0325,0.216,2.94e-05,0.329,0.634,81.992,"Hiphop Tamizha, Kaushik Krish, Padmalatha",Thani Oruvan (Original Motion Picture Soundtrack),2015-07-22
286,0zsA45R0SQPfqC5TyDOqY8,Neeyum Naanum Anbe,69.0,3.0,spotify:track:0zsA45R0SQPfqC5TyDOqY8,0.467,0.826,-3.885,0.049,0.298,0.0,0.204,0.417,160.025,"Hiphop Tamizha, Raghu Dixit, Sathyaprakash D., Jithin Raj",Imaikkaa Nodigal (Original Motion Picture Soundtrack),2018-06-27
287,2cbRVHdH6ab9sPsnQjFRx6,Poongatre Poongatre,54.0,2.0,spotify:track:2cbRVHdH6ab9sPsnQjFRx6,0.825,0.669,-9.117,0.0475,0.0761,0.169,0.329,0.767,119.993,"Yuvan Shankar Raja, Benny Dayal",Paiya (Original Motion Picture Soundtrack),2010-11-22
288,788Lp6lHrCrxJAZvS2l9YZ,Dum Dum,53.0,4.0,spotify:track:788Lp6lHrCrxJAZvS2l9YZ,0.748,0.812,-7.938,0.0471,0.0634,0.00146,0.114,0.906,99.994,"Salimâ€“Sulaiman, Benny Dayal, Himani Kapoor, Amitabh Bhattacharya",Band Baaja Baaraat,2010-03-11
289,7DogGBT86sbjsNWQSIGLtB,Jenniper Lopez,52.0,5.0,spotify:track:7DogGBT86sbjsNWQSIGLtB,0.792,0.916,-7.908,0.18,0.0784,8.64e-06,0.0435,0.845,92.119,"Benny Dayal, Priya",Jalsa,2008-02-28
290,53DXM0bHfB7xkqJZYlksuh,Kaise Mujhe,63.0,3.0,spotify:track:53DXM0bHfB7xkqJZYlksuh,0.59,0.414,-12.391,0.0346,0.781,0.000522,0.146,0.292,82.002,"Benny Dayal, Shreya Ghoshal",Ghajini,2008-11-25
291,3V3QbgrOZKtFv5MXzAAdZr,Locha-E-Ulfat,58.0,2.0,spotify:track:3V3QbgrOZKtFv5MXzAAdZr,0.705,0.74,-5.82,0.0505,0.0365,0.0,0.487,0.928,106.953,Benny Dayal,2 States,2014-03-14
292,7DonyrUlcVcrtk28mqvWNL,Bang Bang,64.0,2.0,spotify:track:7DonyrUlcVcrtk28mqvWNL,0.705,0.678,-8.644,0.0415,0.0483,7.01e-05,0.496,0.691,120.042,"Benny Dayal, Neeti Mohan",Bang Bang (Original Motion Picture Soundtrack),2014-09-15
293,0hgTkEDY9oIG5DPKN39KHP,Ude Dil Befikre,60.0,2.0,spotify:track:0hgTkEDY9oIG5DPKN39KHP,0.704,0.952,-2.331,0.0333,0.0408,0.0,0.335,0.902,106.99,"Vishal-Shekhar, Benny Dayal, Jaideep Sahni",Befikre,2016-12-01
294,7CDP4uXu6mkBDzaTOx9yTS,Aadat Se Majboor,58.0,1.0,spotify:track:7CDP4uXu6mkBDzaTOx9yTS,0.836,0.629,-7.812,0.0788,0.359,3.01e-05,0.101,0.801,115.048,"Salimâ€“Sulaiman, Benny Dayal, Amitabh Bhattacharya",Ladies Vs Ricky Bahl,2011-09-11
295,4eu27jAU2bbnyHUC3G75U8,Badtameez Dil,66.0,1.0,spotify:track:4eu27jAU2bbnyHUC3G75U8,0.806,0.932,-2.228,0.0684,0.24,0.0,0.216,0.792,106.021,"Pritam, Benny Dayal, Shefali Alvares",Yeh Jawaani Hai Deewani,2013-03-30
296,7d5ufSYehroRIgCXxJvcTM,"Chura Ke Dil Mera - From ""Hungama 2""",67.0,1.0,spotify:track:7d5ufSYehroRIgCXxJvcTM,0.737,0.857,-5.806,0.0451,0.0588,1.17e-05,0.281,0.817,126.005,"Benny Dayal, Anmol Malik, Anu Malik","Chura Ke Dil Mera (From ""Hungama 2"")",2021-07-06
305,4KUQFOGTaHrggl3hfMoaAe,"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""",58.0,1.0,spotify:track:4KUQFOGTaHrggl3hfMoaAe,0.729,0.695,-8.524,0.0312,0.522,0.000621,0.113,0.599,127.992,"Sam C.S., Anirudh Ravichander","Kannamma (From ""Ispade Rajavum Idhaya Raniyum"")",2019-01-11
306,3Y7Dt0uszkNBMBTdxyckaV,Haali Haali,34.0,2.0,spotify:track:3Y7Dt0uszkNBMBTdxyckaV,0.798,0.806,-5.002,0.067,0.121,1.56e-06,0.0663,0.805,102.968,"Brijesh Tripati Sandilya, Harini, Sunitha",Spyder (Telugu),2017-09-09
311,3CW0qWSqqqDvQWritNm7bC,Avunu Nijam,44.0,3.0,spotify:track:3CW0qWSqqqDvQWritNm7bC,0.845,0.721,-6.817,0.0599,0.0319,0.00103,0.301,0.583,115.013,"KK, Sunitha",Athadu,2005-10-10
316,5kmh1Zf0hYESmxwDI1IosB,Gundu Sudhi,54.0,6.0,spotify:track:5kmh1Zf0hYESmxwDI1IosB,0.67,0.702,-6.773,0.0416,0.564,2.27e-06,0.303,0.835,134.87,"M. M. Keeravani, Sunitha",Chatrapathi,2005-09-25
317,0Jid8Dg6yoDuLx4B7TBnRD,Dhimmathirigae,37.0,6.0,spotify:track:0Jid8Dg6yoDuLx4B7TBnRD,0.866,0.913,-5.076,0.0949,0.369,0.00316,0.0655,0.872,104.997,"Simha, Geetha Madhuri, Priya Hemesh",Srimanthudu,2015-07-18
318,6InORfDvGGMxwR6iUUvS32,Ittage Recchipodham,42.0,5.0,spotify:track:6InORfDvGGMxwR6iUUvS32,0.926,0.814,-6.959,0.199,0.12,1.97e-06,0.0811,0.553,102.991,"Geetha Madhuri, Dhanunjay Seepana, Anudeep Dev, Arun",Temper,2015-01-28
319,5oyZumEp7fAIVnQhCKE6YZ,Door Number Okati,47.0,6.0,spotify:track:5oyZumEp7fAIVnQhCKE6YZ,0.631,0.84,-6.698,0.31,0.321,0.00272,0.238,0.61,81.003,Geetha Madhuri,Oopiri,2016-02-28
320,0FSrCEox8bEpO3RD6ZfEr5,Top Lesi Poddi,54.0,5.0,spotify:track:0FSrCEox8bEpO3RD6ZfEr5,0.64,0.938,-3.423,0.185,0.104,0.000116,0.119,0.898,82.874,"Sagar, Geetha Madhuri",Idharammayilatho,2013-04-28
321,6YjMX6G0PoWx9WzYZyQBxt,Pakado Pakado,6.0,6.0,spotify:track:6YjMX6G0PoWx9WzYZyQBxt,0.781,0.659,-10.652,0.421,0.411,1.06e-05,0.152,0.704,95.005,"Vinayak, Sameera Bharadwaj",Julayi,2021-02-19
322,0znPMva9iUlMq0o0hpb6Fw,Hey Bombatu Byke Ayithe,8.0,5.0,spotify:track:0znPMva9iUlMq0o0hpb6Fw,0.865,0.571,-11.37,0.0942,0.2,0.0,0.562,0.913,92.004,"Dhanunjay Seepana, Harini Ivvaturi",Julayi,2021-02-19
323,05j8OBtR02Y6w0DUY5sbTT,Don Bosco,41.0,2.0,spotify:track:05j8OBtR02Y6w0DUY5sbTT,0.743,0.977,-4.39,0.071,0.0537,0.00261,0.302,0.551,105.039,"Sri Krishna, Jaspreet Jasz, Hari Teja, Manisha Eerabathini, Ramya Behra",Amar Akbar Antony,2018-11-12
324,33Hsa0oH5W62aIfc8tT0uT,Kalala Kadhala,34.0,1.0,spotify:track:33Hsa0oH5W62aIfc8tT0uT,0.6,0.508,-7.493,0.0301,0.867,0.0359,0.11,0.449,114.988,Harini Ivvaturi,Amar Akbar Antony,2018-11-12
325,497aKHFYNcS1z3bliPu45t,Hawa Hawa,41.0,5.0,spotify:track:497aKHFYNcS1z3bliPu45t,0.825,0.798,-3.792,0.321,0.361,0.0,0.194,0.596,137.981,"Mika Singh, Prakriti Kakar",Mubarakan,2017-07-06
326,6BBW4MBbbqRGIugKUzmG6P,Zara Zara X Cradles,41.0,1.0,spotify:track:6BBW4MBbbqRGIugKUzmG6P,0.733,0.666,-5.207,0.0379,0.628,0.482,0.139,0.535,160.051,Naim Almas,Zara Zara X Cradles,2021-12-31
327,3B7eDo0JA8rkMRsPa9n7rq,Vaseegara / Zara Zara Mashup,44.0,1.0,spotify:track:3B7eDo0JA8rkMRsPa9n7rq,0.833,0.193,-10.131,0.275,0.709,2.26e-05,0.0657,0.674,129.927,Jonita Gandhi,Vaseegara / Zara Zara Mashup - Single,2020-02-20
328,3Ey5rxxpgnt9pzxvsszh89,Ide Kalala Vunnadhe,36.0,4.0,spotify:track:3Ey5rxxpgnt9pzxvsszh89,0.852,0.719,-3.919,0.0358,0.395,0.00349,0.152,0.966,127.019,Andrea Jeremiah,Bharat Ane Nenu,2018-04-07
329,2EmoaXUqkNFzIj6L9Oy0uy,Kadhal Yaanai,55.0,1.0,spotify:track:2EmoaXUqkNFzIj6L9Oy0uy,0.819,0.703,-8.506,0.0946,0.0913,4.24e-05,0.129,0.699,104.931,"Shankar Mahadevan, Harini",Anniyan (Original Motion Picture Soundtrack),2005-06-17
330,5FF8zFVcdfylo72ANbh9wV,Kannum Kannum,55.0,3.0,spotify:track:5FF8zFVcdfylo72ANbh9wV,0.82,0.716,-8.315,0.0638,0.0818,2.53e-05,0.272,0.831,121.01,"Leslee Lewis, Andrea Jeremiah, Vasundhara Das",Anniyan (Original Motion Picture Soundtrack),2005-06-17
331,28fPIWqAfqoEEGSb0rA4LZ,Oo Solriya Oo Oo Solriya,72.0,1.0,spotify:track:28fPIWqAfqoEEGSb0rA4LZ,0.904,0.706,-6.717,0.0846,0.447,0.0851,0.197,0.486,128.038,Andrea Jeremiah,Pushpa - The Rise,2021-12-10
332,5EjkZ4AnBMR6DAN3Xli42y,Five Feet,29.0,2.0,spotify:track:5EjkZ4AnBMR6DAN3Xli42y,0.939,0.971,-7.06,0.18,0.104,6.75e-06,0.076,0.589,124.991,"Tippu, Priya",Jagadam,2007-03-16
333,1SuxPUyP3zTyU9MA6k9e1F,Mu Mu Mudante,24.0,5.0,spotify:track:1SuxPUyP3zTyU9MA6k9e1F,0.844,0.583,-7.656,0.0555,0.0346,0.000238,0.268,0.969,110.041,"Tippu, Sunitha",Jagadam,2007-03-16
334,20S7lyoAgNXpBKoXG4rM4B,Yekantanga,32.0,6.0,spotify:track:20S7lyoAgNXpBKoXG4rM4B,0.767,0.81,-7.033,0.0388,0.181,0.00175,0.126,0.654,106.006,Karunya,Ashok,2006-07-06
335,1QtFtMgfd7brff3mAGuWg8,Choododhu,48.0,6.0,spotify:track:1QtFtMgfd7brff3mAGuWg8,0.812,0.857,-6.149,0.0511,0.0948,0.0185,0.0863,0.663,120.015,"Karthik, Mahalakshmi Iyer",Pokiri,2006-04-08
336,5m1GXpMwU55oCr17bNcgyl,Jagadame,44.0,5.0,spotify:track:5m1GXpMwU55oCr17bNcgyl,0.713,0.893,-5.259,0.0451,0.0502,0.0528,0.199,0.632,112.985,Kunal Ganjawala,Pokiri,2006-04-08
337,5Y0fbLc9DWYYwcKF5DQPiw,Ippatikinka,50.0,4.0,spotify:track:5Y0fbLc9DWYYwcKF5DQPiw,0.822,0.78,-5.003,0.0424,0.285,1.31e-05,0.111,0.554,106.0,"Muralidar, Suchitra",Pokiri,2006-04-08
338,6E2MIXNryG2WcVb9sh1I8L,Gala Gala Paruthunna,51.0,3.0,spotify:track:6E2MIXNryG2WcVb9sh1I8L,0.697,0.756,-5.02,0.089,0.52,9.18e-06,0.123,0.586,101.021,Nihal,Pokiri,2006-04-08
339,3Mfoxtd3ZvpIZHy1WnEF77,Dole Dole,53.0,2.0,spotify:track:3Mfoxtd3ZvpIZHy1WnEF77,0.665,0.859,-4.466,0.167,0.12,1.16e-05,0.474,0.791,167.954,"Ranjith Govind, Suchitra",Pokiri,2006-04-08
340,4pCRP5zNeDHLRh7zmPJOtx,Noppi Noppi,46.0,1.0,spotify:track:4pCRP5zNeDHLRh7zmPJOtx,0.77,0.865,-5.025,0.0708,0.053,0.000298,0.497,0.614,99.021,Naveen,Pokiri,2006-04-08
341,25MPTnqXQB1H6OkwSYUXWx,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",69.0,1.0,spotify:track:25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,-6.503,0.0623,0.329,1.85e-05,0.329,0.311,156.396,Ved Sharma,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",2020-01-16
342,5bAed2aRbQbjDZF9qkNSA2,"Hui Malang (From ""Malang - Unleash The Madness"")",55.0,1.0,spotify:track:5bAed2aRbQbjDZF9qkNSA2,0.633,0.904,-5.09,0.0564,0.0337,4.31e-05,0.122,0.259,124.008,"Asees Kaur, Ved Sharma","Hui Malang (From ""Malang - Unleash The Madness"")",2020-02-03
343,4xmkpE1Si5JL7NFxWrhV0S,"Humraah (From ""Malang - Unleash The Madness"")",69.0,1.0,spotify:track:4xmkpE1Si5JL7NFxWrhV0S,0.468,0.854,-3.932,0.059,0.176,0.0,0.126,0.277,155.867,"Sachet Tandon, The Fusion Project","Humraah (From ""Malang - Unleash The Madness"")",2020-01-23
344,3ewpBHToQVjCv2q7SnmsFd,Hatha,20.0,3.0,spotify:track:3ewpBHToQVjCv2q7SnmsFd,0.627,0.783,-9.383,0.0444,0.0593,0.0489,0.487,0.413,119.972,Lalith Chilukuri,Goodachari,2018-07-23
345,4Enr48UdAmBWn6PLgSLsqS,Anaganaga,20.0,1.0,spotify:track:4Enr48UdAmBWn6PLgSLsqS,0.753,0.53,-8.851,0.0429,0.409,0.00708,0.134,0.425,130.02,Ambika Sashital,Goodachari,2018-07-23
346,3XrgFJdi7Isja4pq7owxdc,Sakhiya,32.0,2.0,spotify:track:3XrgFJdi7Isja4pq7owxdc,0.687,0.515,-9.823,0.0404,0.116,0.64,0.431,0.334,128.013,"Sricharan Pakala, Yamini Ghantasala",Goodachari,2018-07-23
347,66pcLcrEnus8gEcbmsN4vs,Goodachari Main Theme,25.0,5.0,spotify:track:66pcLcrEnus8gEcbmsN4vs,0.6,0.846,-7.377,0.0565,0.0163,0.596,0.333,0.441,159.951,Sricharan Pakala,Goodachari,2018-07-23
348,0ctKfa1O6O4UueGLhqKJB3,You Are My Heart Beat - Telugu,37.0,1.0,spotify:track:0ctKfa1O6O4UueGLhqKJB3,0.742,0.499,-7.797,0.0403,0.551,0.000206,0.0792,0.778,124.951,"Anurag Kulkarni, Mickey J. Meyer",Iddari Lokam Okate,2019-12-13
349,4tapO1vYD4YLoUCkgDGwab,You Are My Heart Beat,34.0,1.0,spotify:track:4tapO1vYD4YLoUCkgDGwab,0.742,0.499,-7.797,0.0403,0.551,0.000206,0.0792,0.778,124.951,Anurag Kulkarni,Iddari Lokam Okate,2019-10-14
350,5H1fqGHrjR78hQKw3iPjp2,Love Cheyyaala Oddhaa,38.0,3.0,spotify:track:5H1fqGHrjR78hQKw3iPjp2,0.862,0.731,-4.683,0.0951,0.215,0.000672,0.0919,0.905,138.075,Narendra,Kumari 21 F,2015-10-31
351,4YpxBrMONvVqbmXmYI2P5M,Meghaalu Lekunna,53.0,2.0,spotify:track:4YpxBrMONvVqbmXmYI2P5M,0.736,0.65,-5.958,0.0318,0.274,1.52e-06,0.179,0.608,134.859,Yazin Nizar,Kumari 21 F,2015-10-31
352,79l2r6sNwz2p2kCjK5eB8y,Naalo Chilipi Kala (Theme Song),56.0,1.0,spotify:track:79l2r6sNwz2p2kCjK5eB8y,0.805,0.501,-5.243,0.0514,0.589,2.86e-05,0.429,0.707,84.999,Yazin Nizar,Lover,2018-06-24
353,0sjg2rWD3IcQK07HOBw5Dq,"Summa Surrunu (From ""Etharkkum Thunindhavan"")",63.0,1.0,spotify:track:0sjg2rWD3IcQK07HOBw5Dq,0.701,0.862,-5.288,0.0543,0.025,2.81e-06,0.0801,0.884,142.031,"Armaan Malik, Nikhita Gandhi, D. Imman","Summa Surrunu (From ""Etharkkum Thunindhavan"")",2022-01-16
354,3CcZFF9VjwXrElkWZ6GjIX,Kurilae Kurilae,30.0,4.0,spotify:track:3CcZFF9VjwXrElkWZ6GjIX,0.876,0.751,-5.806,0.0524,0.0212,0.0045,0.115,0.517,136.024,"Harris Jayaraj, Javed Ali, Darshana K.T.",Kaappaan (Original Motion Picture Soundtrack),2019-07-22
355,6YNh7d9B3Jlwlzkvq2MMbb,Hey Amigo,56.0,3.0,spotify:track:6YNh7d9B3Jlwlzkvq2MMbb,0.863,0.753,-5.067,0.128,0.151,0.0141,0.0618,0.616,98.02,"Harris Jayaraj, Leslee Lewis, Jonita Gandhi",Kaappaan (Original Motion Picture Soundtrack),2019-07-22
356,06urexU7lv41RDdLnMzChi,Oh! Shanthi Shanthi,58.0,5.0,spotify:track:06urexU7lv41RDdLnMzChi,0.706,0.597,-7.045,0.041,0.464,0.0,0.226,0.41,132.91,"Harris Jayaraj, Clinton, S.P.Charan",Vaaranam Aayiram (Original Motion Picture Soundtrack),2008-10-08
357,6qRiVOBexkxK4BxSt1j6rn,Anbae Peranbae,62.0,3.0,spotify:track:6qRiVOBexkxK4BxSt1j6rn,0.685,0.561,-4.185,0.0298,0.481,0.00181,0.16,0.312,90.023,"Sid Sriram, Shreya Ghoshal",NGK (Original Motion Picture Soundtrack),2019-04-30
358,1Zmr2I4xoQdgphKB7or6Ns,Wi Wi Wi Wi Wifi,27.0,5.0,spotify:track:1Zmr2I4xoQdgphKB7or6Ns,0.804,0.909,-3.371,0.0475,0.0334,3.18e-05,0.309,0.77,116.038,Harris Jayaraj,S3 (Original Motion Picture Soundtrack),2016-11-28
363,2BB7wu5jJxxAEH9DKC5Mm4,En Idhayam,47.0,2.0,spotify:track:2BB7wu5jJxxAEH9DKC5Mm4,0.691,0.687,-3.963,0.0655,0.378,0.00547,0.15,0.882,89.899,"Devi Sri Prasad, Suchitra, Tippu",Singam (Original Motion Picture Soundtrack),2010-05-03
364,5APtMcc2hQv61LqoOrMv0O,Yeno Yeno Panithuli,52.0,2.0,spotify:track:5APtMcc2hQv61LqoOrMv0O,0.898,0.517,-10.897,0.0375,0.17,0.00549,0.0695,0.786,106.996,"Harris Jayaraj, Shail Hada, Sudha Ragunathan, Andrea Jeremiah",Aadhavan (Original Motion Picture Soundtrack),2009-08-09
365,5grxO9GFZTtN2CVMlbEuIv,"Suttum Vizhi - Language: Tamil; Film: Ghajini; Film Artists: Surya, Asin",0.0,3.0,spotify:track:5grxO9GFZTtN2CVMlbEuIv,0.789,0.595,-7.061,0.0502,0.0762,0.000475,0.0797,0.945,96.995,Sriram Parthasarathy,Ghajini,2005-01-01
366,13wIQbwSuQ4YFvDvtQgSVc,Vaarayo Vaarayo,67.0,4.0,spotify:track:13wIQbwSuQ4YFvDvtQgSVc,0.718,0.361,-9.74,0.0298,0.565,0.119,0.151,0.446,103.0,"Harris Jayaraj, Unnikrishnan, Chinmayi, Mega",Aadhavan (Original Motion Picture Soundtrack),2009-08-09
367,7yLBq1QePwcxPstePzca1I,Vizhi Moodi Yosithal,41.0,1.0,spotify:track:7yLBq1QePwcxPstePzca1I,0.739,0.366,-9.337,0.0547,0.115,0.0,0.0882,0.605,90.936,"Sathursan, Varothayan, Ab1shanth, Rajithan",Vizhi Moodi Yosithal,2022-02-27
368,6gw6Z0KmHZusBKaGQvkucO,Varinche Prema,0.0,3.0,spotify:track:6gw6Z0KmHZusBKaGQvkucO,0.797,0.634,-9.148,0.0411,0.287,0.0,0.13,0.812,100.004,Haricharan,Malli Malli Idi Rani Roju (Original Motion Picture Soundtrack),2014-12-07
369,4OUNQNh2YVBHSHCOhtoSo9,Marhaba,0.0,1.0,spotify:track:4OUNQNh2YVBHSHCOhtoSo9,0.791,0.503,-8.995,0.0448,0.578,1.74e-06,0.0911,0.912,138.977,"Aaishwarya, Bhavya, Lakshmi, Gopi Sundar",Malli Malli Idi Rani Roju (Original Motion Picture Soundtrack),2014-12-07
370,4L5HCtdYiuqxZo55mIgNtT,Yenno Yenno,0.0,2.0,spotify:track:4L5HCtdYiuqxZo55mIgNtT,0.779,0.421,-9.379,0.0345,0.7,0.0,0.323,0.568,100.065,"Karthik, Chinmayi",Malli Malli Idi Rani Roju (Original Motion Picture Soundtrack),2014-12-07
371,1W5Ap5w2SFAKuxebIU2CAN,Gusa Gusa Lade,0.0,1.0,spotify:track:1W5Ap5w2SFAKuxebIU2CAN,0.522,0.767,-6.194,0.0534,0.269,1.84e-05,0.439,0.381,170.852,"Karthik, Pranavi",Gentleman (Original Motion Picture Soundtrack),2016-05-22
372,1nBbMLTnf3bSyKrGVMoFxk,Hello Hello,41.0,2.0,spotify:track:1nBbMLTnf3bSyKrGVMoFxk,0.868,0.783,-5.136,0.0326,0.261,1.4e-06,0.0923,0.699,119.998,"Karthik, Chinmayi",Bhale Bhale Magadivoi,2015-08-15
373,0S2Db7xLxAf3qApr7Rm79V,Unnatundi Gundey,0.0,1.0,spotify:track:0S2Db7xLxAf3qApr7Rm79V,0.839,0.597,-7.079,0.0363,0.512,0.001,0.105,0.712,119.978,"Karthik, Chinmayi",Ninnu Kori (Original Motion Picture Soundtrack),2017-06-27
374,1xq01tN2IqpGSMjeWY1NLO,Ninu Choosthunte,0.0,5.0,spotify:track:1xq01tN2IqpGSMjeWY1NLO,0.897,0.575,-10.489,0.0965,0.139,0.021,0.126,0.847,130.007,"Siddharth, Sumangali",Aata (Original Motion Picture Soundtrack),2007
375,5FDoYv1LFnPy8lccP43ibI,Sa Sa Sye,0.0,4.0,spotify:track:5FDoYv1LFnPy8lccP43ibI,0.766,0.958,-4.627,0.255,0.027,0.00383,0.0483,0.551,95.015,"Karthik, K. S. Chithra",Bhadra (Original Motion Picture Soundtrack),2005
376,6yHLSsBq5QZbOzPohSckxD,Vastha Nee Venuka,0.0,2.0,spotify:track:6yHLSsBq5QZbOzPohSckxD,0.759,0.746,-6.602,0.0563,0.0299,1.27e-06,0.0864,0.583,119.985,"Hariharan, Harini",Nani (Original Motion Picture Soundtrack),2004
377,2RB0HGpFZ3ScPEqC7uCqr3,Hoyna,51.0,2.0,spotify:track:2RB0HGpFZ3ScPEqC7uCqr3,0.869,0.468,-10.478,0.0646,0.323,0.00102,0.203,0.926,127.966,"Karthik, K. S. Chithra",Aata,2007-04-26
378,6NCMhWthZdWGbG3ce0Muek,Oka Maru,51.0,1.0,spotify:track:6NCMhWthZdWGbG3ce0Muek,0.785,0.683,-7.406,0.0325,0.163,6.08e-05,0.262,0.862,111.97,Karthik,Ghajini,2005-10-26
379,6vztfVJ1lTWe23YMNv6Pk1,Hasili Fisiliye,57.0,1.0,spotify:track:6vztfVJ1lTWe23YMNv6Pk1,0.768,0.561,-9.388,0.0374,0.202,0.0,0.0986,0.449,97.016,"Harris Jayaraj, Karthik, Harini, Dr. Burn, Maya",Aadhavan (Original Motion Picture Soundtrack),2009-08-09
380,1RQw9ruSPj5Is7OzqG09Zs,Unnaale Unnaale,59.0,6.0,spotify:track:1RQw9ruSPj5Is7OzqG09Zs,0.784,0.629,-9.754,0.0424,0.364,2.4e-06,0.0941,0.843,101.016,"Karthik, Krishh, Harini",Unnale Unnale,2006-12-31
381,19O4hCGGm95UhvIyhwnNT5,"Thooriga - From ""Navarasa""",68.0,1.0,spotify:track:19O4hCGGm95UhvIyhwnNT5,0.662,0.688,-9.019,0.0413,0.0422,0.000918,0.431,0.365,102.95,Karthik,"Thooriga (From ""Navarasa"")",2021-07-12
382,4LUoIdnriI5UDn5R7u1D2N,Hold Me Now,48.0,4.0,spotify:track:4LUoIdnriI5UDn5R7u1D2N,0.695,0.838,-5.081,0.0431,0.155,2.55e-06,0.0561,0.664,95.985,"Sanjith Hegde, Thurga",Pyaar Prema Kaadhal (Original Motion Picture Soundtrack),2018-02-13
383,0zDmCKN7OlRmNmeiiJAyOR,High on Love,36.0,2.0,spotify:track:0zDmCKN7OlRmNmeiiJAyOR,0.625,0.78,-5.442,0.04,0.179,2.7e-06,0.114,0.615,149.978,Sid Sriram,Pyaar Prema Kaadhal (Original Motion Picture Soundtrack),2018-02-13
384,1vzxYeTJ9dTtyJXkNWVJDZ,En Kadhal Solla,61.0,5.0,spotify:track:1vzxYeTJ9dTtyJXkNWVJDZ,0.874,0.412,-5.746,0.0313,0.035,0.00684,0.102,0.56,105.019,"Yuvan Shankar Raja, Tanvi Shah",Paiya (Original Motion Picture Soundtrack),2010-11-22
385,2uqXfUERVBLa1heEoUTBlO,Thuli Thuli,61.0,1.0,spotify:track:2uqXfUERVBLa1heEoUTBlO,0.709,0.528,-7.429,0.0309,0.256,0.00189,0.112,0.649,91.999,"Yuvan Shankar Raja, Haricharan, Tanvi Shah",Paiya (Original Motion Picture Soundtrack),2010-11-22
386,70aYyuwZG2KxnJ5Yw5irTy,Dil Se,41.0,5.0,spotify:track:70aYyuwZG2KxnJ5Yw5irTy,0.817,0.86,-1.771,0.0485,0.242,1.78e-05,0.0512,0.891,94.027,"Karthik, Shweta Mohan",Gabbar Singh,2012-04-15
395,15tCasit297c9SsbU3R95d,"Mind Block (From ""Sarileru Neekevvaru"")",52.0,1.0,spotify:track:15tCasit297c9SsbU3R95d,0.922,0.921,-5.026,0.216,0.645,0.00536,0.0972,0.73,101.986,"Blaaze, Ranina Reddy, Devi Sri Prasad","Mind Block (From ""Sarileru Neekevvaru"")",2019-12-02
404,7wXnBBHySmyIIZIj1dEAMW,Naan Pizhaippeno,8.0,2.0,spotify:track:7wXnBBHySmyIIZIj1dEAMW,0.601,0.734,-8.512,0.0332,0.151,0.00112,0.106,0.296,123.002,Sathyaprakash,Enai Noki Paayum Thota (Original Motion Picture Soundtrack),2019-09-01
405,5p3WUyv5rvpCkreNJVg20K,Visiri,7.0,4.0,spotify:track:5p3WUyv5rvpCkreNJVg20K,0.373,0.331,-9.599,0.0344,0.595,7.9e-06,0.0997,0.518,115.242,"Sid Sriram, Shashaa Tirupati",Enai Noki Paayum Thota (Original Motion Picture Soundtrack),2019-09-01
