Track Name,Artists,Album,URI,Release Date
Mr. Perfect,"Devi Sri Prasad, Baba Sehgal, Rita",Aarya - 2 (Original Motion Picture Soundtrack),4HB1ILmewz18T9jGNHmmBe,2009-10-30
Ninne Pelladu,"Ranjith Govind, Kalpana",Ready,0xQQRL9Qci102qJlWvgQ3N,2008-05-19
Hello Rammante,"Vijay Prakash, Devan Ekambaram, D.Burn",Orange,3WqQkDTab7sYjRX9Uf7mqr,2010-10-25
Po Nee Po - The Pain of Love,"Anirudh Ravichander, Mohit Chauhan",3 (Original Motion Picture Soundtrack),6zdikHQs2PBFgGIZBxqOeV,2011-12-23
Kannamma,"Sam C.S., Anirudh Ravichander",Ispade Rajavum Idhaya Raniyum (Original Motion Picture Soundtrack),45THyhjDbYhNU7bDrTTUK6,2019-01-28
"Nenjame (From ""Doctor"")",Anirudh Ravichander,"Nenjame (From ""Doctor"")",491DwnBb3MA8RzyA2E0Skt,2020-08-20
You’Re My Love,Puyush Kapoor (English Lyrics Dsp),No 1 Nenokkadine,0EV7Iol5TYTzVufJTT6ZSX,2014-08-01
Who R U,Dsp,No 1 Nenokkadine,40Z8bpGJPxjClb4NK8j0LJ,2014-08-01
Aww Tuzo,Neha Bhasin,No 1 Nenokkadine,6OKfxoZ4qW4ZHJs0RglVRr,2014-08-01
O Sayonara,"Sooraj Santhosh, M. M. Manasi",No 1 Nenokkadine,2O0gfUalCw8AM1KE3Tru2e,2014-08-01
Akasam Ammayaithe,"Shankar Mahadevan, Gopika Poornima",Gabbar Singh,14I31bbtEZVADFi1uCcxcu,2012-04-15
Ninnila,"Armaan Malik, Thaman S",Tholi Prema,2DDOQBKGmkv7bPoYF1bELz,2018-01-16
O Madhu,Adnan Sami,Julai,1VDDoa82Oktn7FDPKBcsw8,2012-06-09
Vaathi Raid,"Anirudh Ravichander, Arivu",Master (Original Motion Picture Soundtrack),4PML5RtrVcYAwTTS46otXB,2020-03-16
Vastunna Vachestunna - Telugu,"Shreya Ghoshal, Amit Trivedi, Anurag Kulkarni",V,7xIGNwEgAAdQ0bRgWph5cJ,2020-08-28
Kanne Kanne,"Anurag Kulkarni, Chinmayi",Arjun Suravaram,1xkeK8WR55UkcVAW7wFaxY,2019-11-27
Dimaak Kharaab,"Keerthana Sharma, Saketh","Dimaak Kharaab (From ""Ismart Shankar"")",2xr3uvrbq6OKCUX2puxj8q,2019-06-07
Padi Padi Leche,"Armaan Malik, Sinduri Vishal",Padi Padi Leche Manasu,7tXaDnRF8OVbcecl0KurVn,2018-12-10
Nee Kallalona,Hemachandra Vedala,Jai Lava Kusa,1TbAX8IybA1SCy4z4rNTpn,2017-09-03
Gaali Vaaluga,Anirudh Ravichander,Agnyaathavaasi (Original Motion Picture Soundtrack),4xm7NTpUd9wJNxjvSHMeyQ,2017-12-19
Ninnila,Armaan Malik,Toliprema (Original Motion Picture Soundtrack),5a7RaYvPiV2ThtSqpS2m4x,2018-01-20
Adiga Adiga,Sid Sriram,Ninnu Kori (Original Motion Picture Soundtrack),2LTgKIErzHLjtQjIEkGrU5,2017-06-27
Priyathama Priyathama,Chinmayi,Majili,4wHZiaLsuI9aQdWv4f3Esd,2019-03-11
Manasu Maree - Telugu,"Amit Trivedi, Shashaa Tirupati, Yazin Nizar",Manasu Maree,57xczqwxDF0HZsuPyVEJXa,2020-02-24
Nuvvele Nuvvele,Shweta Mohan,Jaya Janaki Nayaka,2NEFT1kFinuwRgow5plEZE,2017-08-01
Nee Selvadigi,Shweta Mohan,Janatha Garage,14ZvcewteMfdD32us40NDC,2016-08-12
Sada Siva,"Mani Sharma, Ramesh Vinayakam, Karunya",Khaaleja (Original Motion Picture Soundtrack),7sB18S2Ae8Aye4n9s9LZNj,2010-09-24
Taxi,"Mani Sharma, Ranjith Govind",Khaaleja (Original Motion Picture Soundtrack),0qVqPTe9U3vaCQJIFMcXEE,2010-09-24
Sunday Monday,"Mani Sharma, Hemachandra Vedala, Malavika",Khaaleja (Original Motion Picture Soundtrack),2hFdANP5tt7m26v07Ba34u,2010-09-24
Makathika,"Mani Sharma, Karthik, Saindhavi",Khaaleja (Original Motion Picture Soundtrack),09g0nXVR567ITiVzmrYqcT,2010-09-24
Pileche,"Mani Sharma, Hemachandra Vedala, Shweta Mohan",Khaaleja (Original Motion Picture Soundtrack),1mOCb1w5n62jLGHJqpGL2W,2010-09-24
Bhoom Shakenaka,"Mani Sharma, Ranjith Govind, Sravana Bhargavi",Khaaleja (Original Motion Picture Soundtrack),0gByuuGKyyaa4lisPUSP54,2010-09-24
"Vaathi Coming (From ""Master"")","Anirudh Ravichander, Gana Balachandar","Vaathi Coming (From ""Master"")",4dJrjWtAhEkW7VdPYSL1Ip,2020-03-10
Love Dhebba,"Deepak, Sravana Bhargavi",Nannaku Prematho (Original Motion Picture Soundtrack),3voVT9SGPZCT6tYXVbwAao,2015-12-25
Niharika,"Vijay Prakash, Neha Bhasin",Oosaravelli,1yVEpXyOeFB0obLo5sTF8F,2011-09-16
Follow Follow,Devi Sri Prasad,Nannaku Prematho (Original Motion Picture Soundtrack),0kz3Bh09Li3wtcreZV3BKM,2015-12-25
Shiva Shambo (Thodasa Pyar),Devi Sri Prasad,Adhurs,4oj85t0i15ghedqRDl4qSR,2009-12-05
Rakaasi Rakaasi,Jr. NTR,Rabhasa (Original Motion Picture Soundtrack),1qmfLCVMxiEpnwrPBWFmjh,2014-09-26
Love Me Again,Sooraj Santhosh,Nannaku Prematho (Original Motion Picture Soundtrack),0aygY9LqK1bCqyKK1bOsio,2015-12-25
Padhe Padhe,"Anirudh Ravichander, Shakthisree Gopalan, Brodha V",Padhe Padhe (Jersey),5ISjos4cA8pK2pMnzUOIYN,2019-04-08
Manassa,"Haricharan, Sadhana Sargam",Munna,3YB09zhSWO8mmESr8NUV0n,2007-05-07
Vaseegara,Bombay Jayashri,Minnale (Original Motion Picture Soundtrack),3vxy9D4qd7TO4j6Gi2zmXo,1962-01-02
Adiye,"Dhibu Ninan Thomas, Kapil Kapilan",Bachelor (Original Motion Picture Soundtrack),6ot9hTwAduVH0MewyFpiMw,2021-11-26
Adiyae Kolluthey,"Harris Jayaraj, Krishh, Benny Dayal, Shruti Haasan",Vaaranam Aayiram (Original Motion Picture Soundtrack),2YoPh281gD3xPnTkojVSr3,2008-10-08
Annul Maelae,"Harris Jayaraj, Sudha Ragunathan",Vaaranam Aayiram (Original Motion Picture Soundtrack),2WO5nzB7QtKn9ZRc9Jkalt,2008-10-08
Suthudhe Suthudhe,"Yuvan Shankar Raja, Karthik, Sunitha Sarathy",Paiya (Original Motion Picture Soundtrack),7fGcPKzKiXAVL0mqesq4dT,2010-11-22
Hey Nijame,"Bombay Jayashri, Darbuka Siva",Enai Noki Paayum Thota (Original Motion Picture Soundtrack),5nG2hbCPI0urycsRN8M3OR,2019-09-01
Thirudaadhe Thirudaadhe,"Darbuka Siva, Jonita Gandhi, Karthik, Aaryan Dinesh Kanagaratnam","Thirudaadhe Thirudaadhe (From ""Enai Noki Paayum Thota"" Original Motion Picture Soundtrack)",0dXSHwE938tow27WBaZTGg,2019-08-27
Minnalgal Koothadum,"Karthik, Bombay Jeyashree",Polladhavan (Original Motion Picture Soundtrack),3h0W7VWNFZsll7EHTAQWlh,2021-06-15
Andha Kanna Paathaakaa,"Anirudh Ravichander, Yuvan Shankar Raja",Master (Original Motion Picture Soundtrack),0qvoxfYodIfe14gaidhnsV,2020-03-16
Nee Paartha Vizhigal - The Touch of Love,"Anirudh Ravichander, Vijay Yesudas, Shweta Mohan",3 (Original Motion Picture Soundtrack),0xttqqTj7ZAGyVkfOYxQ4F,2011-12-23
Udhungada Sangu,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),24GlSNySJ9tAwkvZPuVb63,2016-01-14
JD Intro - Background Score,Anirudh Ravichander,Master (Original Background Score),7KqmDr9lTjwXnX5krMIKiC,2021-02-08
Kanave Kanave,Anirudh Ravichander,David,6sPW145Y3LSXd4p1LjBOcS,2013-01-10
"Ilamai Thirumbudhe - From ""Petta""",Anirudh Ravichander,Petta (Original Motion Picture Soundtrack),4IUGuoJ41g5fLIqsO1MJoU,2018-12-10
Kaththi Theme… The Sword of Destiny,Anirudh Ravichander,Kaththi (Original Motion Picture Soundtrack),1m2PQa2vARopdOK8xGVkaX,2014-09-18
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Anirudh Ravichander, Jonita Gandhi","Arabic Kuthu - Halamithi Habibo (From ""Beast"")",6yvxu91deFKt3X1QoV6qMv,2022-02-14
Kannazhaga - The Kiss of Love,"Anirudh Ravichander, Dhanush, Shruti Haasan",3 (Original Motion Picture Soundtrack),2MwCoo4GeXpi8soWn9EiPo,2011-12-23
"Master the Blaster (From ""Master"")","Anirudh Ravichander, Bjorn Surrao","Master the Blaster (From ""Master"")",2cVJDlu9jmkPUeuJxA6v8i,2021-01-15
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")","Anirudh Ravichander, Jonita Gandhi","Arabic Kuthu - Halamithi Habibo (From ""Beast"")",6yvxu91deFKt3X1QoV6qMv,2022-02-14
"Jalabulajangu (From ""Don"")","Anirudh Ravichander, Rokesh","Jalabulajangu (From ""Don"")",4HdzYTQiouB9BVYX7JOrhh,2021-12-16
"Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")","Anirudh Ravichander, Ravi G, Shashaa Tirupati","Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")",1UUgngRGzFWfgpyN0WAN1r,2022-01-03
"Bae (From ""Don"")","Anirudh Ravichander, Adithya RK","Bae (From ""Don"")",5D507IC1VOAg7bKkmOblr6,2022-02-03
"Jolly O Gymkhana (From ""Beast"")","Thalapathy Vijay, Anirudh Ravichander","Jolly O Gymkhana (From ""Beast"")",6lpbzOMBOYHRsp6WEMvRvn,2022-03-19
Kanave Kanave,Anirudh Ravichander,David,6sPW145Y3LSXd4p1LjBOcS,2013-01-10
"Chellamma (From ""Doctor"")","Anirudh Ravichander, Jonita Gandhi","Chellamma (From ""Doctor"")",0fGclndst25Qqy8j4u5De5,2020-07-16
Nee Paartha Vizhigal - The Touch of Love,"Anirudh Ravichander, Vijay Yesudas, Shweta Mohan",3 (Original Motion Picture Soundtrack),0xttqqTj7ZAGyVkfOYxQ4F,2011-12-23
"So Baby (From ""Doctor"")","Anirudh Ravichander, Ananthakrrishnan","So Baby (From ""Doctor"")",0t0mHozF8Xsif9w8bemh9D,2021-02-25
Udhungada Sangu,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),24GlSNySJ9tAwkvZPuVb63,2016-01-14
"Bodhai Kaname - From ""Oh Manapenne""","Vishal Chandrashekhar, Anirudh Ravichander, Shashaa Tirupati","Bodhai Kaname (From ""Oh Manapenne"")",4qIMmEjV8gaEsfZML9LALx,2021-07-30
Idhazhin Oram - The Innocence of Love,"Anirudh Ravichander, Ajesh",3 (Original Motion Picture Soundtrack),6NwEpX2JUWHVKWfDDfcqC4,2011-12-23
"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")","Anirudh Ravichander, Sunidhi Chauhan, Sanjana Kalmanje","Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",6C8JJFoGC4dkVtAHVK3iif,2021-09-18
"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander,"Enakenna Yaarum Illaye (From ""Aakko"")",6sAdmaffuMijDszeFrGF1H,2015-02-14
Why This Kolaveri Di? - The Soup of Love,"Anirudh Ravichander, Dhanush",Why This Kolaveri Di? (The Soup of Love),2VGs7EmaIxq96Wcog6DQOc,2011-11-16
Senjitaley,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),2RB3zzgxWc2RRBaJOkSEka,2016-09-05
Kannuladha - The Kiss of Love,"Anirudh Ravichander, Dhanush, Shruti Haasan",3 (Original Motion Picture Soundtrack),1vnDu8pbmwz88G6RDugerQ,2012-03-22
Kannazhaga - The Kiss of Love,"Anirudh Ravichander, Dhanush, Shruti Haasan",3 (Original Motion Picture Soundtrack),2MwCoo4GeXpi8soWn9EiPo,2011-12-23
Andha Kanna Paathaakaa,"Anirudh Ravichander, Yuvan Shankar Raja",Master (Original Motion Picture Soundtrack),0qvoxfYodIfe14gaidhnsV,2020-03-16
Hoyna Hoyna,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),7mNQwVYgoB3mtjkjCKsbXM,2019-09-05
Nee Paata Madhuram - The Touch of Love,"Anirudh Ravichander, Roop Kumar Rathod, Shreya Ghoshal",3 (Original Motion Picture Soundtrack),6fP7zEaXUaGmzTDyvA79Ng,2012-03-22
Po Nee Po - The Pain of Love,"Anirudh Ravichander, Mohit Chauhan",3 (Original Motion Picture Soundtrack),6zdikHQs2PBFgGIZBxqOeV,2011-12-23
Gaali Vaaluga,Anirudh Ravichander,Agnyaathavaasi,5pOY1Vg2TIIbVBfR6yAg0C,2017-11-07
"Ilamai Thirumbudhe - From ""Petta""",Anirudh Ravichander,Petta (Original Motion Picture Soundtrack),4IUGuoJ41g5fLIqsO1MJoU,2018-12-10
Vaathi Coming,"Anirudh Ravichander, Gana Balachandar",Master (Original Motion Picture Soundtrack),2BcPFQ7nrtUObgAs72xaac,2020-03-16
"Beast Announcement Theme (From ""Beast"")",Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",6jiMGpaN4Sx7xYlSQqfjnz,2022-02-23
Oh Penne,"Anirudh Ravichander, Vishal Dadlani",Vanakkam Chennai (Original Motion Picture Soundtrack),1zAkNzJZVPrWDCnowb1vpZ,2013-07-31
Thangamey,Anirudh Ravichander,Naanum Rowdy Dhaan (Original Motion Picture Soundtrack),62KDpF0Hv7KJLZrrKXsz8r,2015-10-14
Boomi Enna Suthudhe,Anirudh Ravichander,Ethir Neechal (Original Motion Picture Soundtrack),7I2iaEOGWSfMOaTk8z4ZtD,2012-12-15
"Bujji (From ""Jagame Thandhiram"")","Santhosh Narayanan, Anirudh Ravichander","Bujji (From ""Jagame Thandhiram"")",6rJhjykEkCqm3H64uALhhf,2020-11-13
Kannamma,"Sam C.S., Anirudh Ravichander",Ispade Rajavum Idhaya Raniyum (Original Motion Picture Soundtrack),45THyhjDbYhNU7bDrTTUK6,2019-01-28
"Yaanji - From ""Vikram Vedha""","Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",6EB454nVg2u6sbeCvWAPej,2017-06-12
Kaththi Theme… The Sword of Destiny,Anirudh Ravichander,Kaththi (Original Motion Picture Soundtrack),1m2PQa2vARopdOK8xGVkaX,2014-09-18
Aaluma Doluma,"Anirudh Ravichander, Badshah",Vedalam (Original Motion Picture Soundtrack),1Do2hDE0etMakAEQbyOd4L,2015-10-16
Amma Amma,"Anirudh Ravichander, Dhanush, S. Janaki",Velai Illa Pattadhaari (Original Motion Picture Soundtrack),5MXLGqsMbHMTKbuOOGbeGn,2016-01-14
Karuthavanlaam Galeejaam,Anirudh Ravichander,Velaikkaran (Original Motion Picture Soundtrack),22cCckQ9DR4E94QhtUzSW3,2017-12-04
Mersalaayitten,"A.R. Rahman, Anirudh Ravichander, Neeti Mohan",I (Original Motion Picture Soundtrack),78R4fDeRrcoBIxL6uX4TnJ,2014-09-18
"Takkunu Takkunu - From ""Mr. Local""","Hiphop Tamizha, Anirudh Ravichander","Takkunu Takkunu (From ""Mr. Local"")",4FL8i7miD18FuMN08XGKcM,2019-04-06
"Master the Blaster (From ""Master"")","Anirudh Ravichander, Bjorn Surrao","Master the Blaster (From ""Master"")",2cVJDlu9jmkPUeuJxA6v8i,2021-01-15
Osaka Osaka,"Anirudh Ravichander, Pragathi",Vanakkam Chennai (Original Motion Picture Soundtrack),7xV3MCJ6YI3K4I6Jt1a9H7,2013-07-31
Po Indru Neeyaga,"Anirudh Ravichander, Dhanush",Velai Illa Pattadhaari (Original Motion Picture Soundtrack),7fttjqzmvgvpRQoOzyYng3,2016-01-14
JD Intro - Background Score,Anirudh Ravichander,Master (Original Background Score),7KqmDr9lTjwXnX5krMIKiC,2021-02-08
"Sanchari (From ""Radhe Shyam"")","Anirudh Ravichander, Justin Prabhakaran","Sanchari (From ""Radhe Shyam"")",1ysF7N4pb8cQeyDyEgsPq1,2021-12-16
Oh Oh - The First Love of Tamizh,"Anirudh Ravichander, Dhanush, Nikhita Gandhi",Thangamagan (Original Motion Picture Soundtrack),3B4Wf3Fo11BXSuVPi1dtDO,2015-11-27
Adhento Gaani Vunnapaatuga,Anirudh Ravichander,Jersey,6rji5mwjuHRuhozNhn8DG8,2019-04-17
Tamilselvi,"Anirudh Ravichander, Nakash Aziz",Remo (Original Motion Picture Soundtrack),7zEqY4oGrTVOx85VlRSymi,2016-09-05
Gangu Leader,Anirudh Ravichander,Gang Leader (Original Motion Picture Soundtrack),05dYneZZZ2mytSmnsvzFoW,2019-09-05
Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),66N9OkT3uarJxuzD7iU4BP,2020-03-16
"Jai Sulthan - From ""Sulthan""","Vivek - Mervin, Anirudh Ravichander, Junior Nithya, Gana Guna","Jai Sulthan (From ""Sulthan"")",7crGzxRqI5pMZAjZgF9uu2,2021-02-11
Un Vizhigalil,"Anirudh Ravichander, Shruti Haasan",Maan Karate (Original Motion Picture Soundtrack),5fqsWynhQRpoIVeRfRu4yQ,2014-03-16
"Nenjame (From ""Doctor"")",Anirudh Ravichander,"Nenjame (From ""Doctor"")",491DwnBb3MA8RzyA2E0Skt,2020-08-20
